time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-03T23:06:00.810Z,-16.2673,167.2509,10,5,mb,,83,0.816,1.14,us,us10005dif,2016-05-03T23:26:38.171Z,"24km SW of Lakatoro, Vanuatu",earthquake,6.4,1.9,0.093,37,reviewed,us,us
2016-05-03T22:32:35.510Z,-1.9026,99.7135,35,4.5,mb,,126,2.58,0.64,us,us10005dic,2016-05-03T22:50:35.992Z,"65km ESE of Muara Siberut, Indonesia",earthquake,8.4,2,0.102,28,reviewed,us,us
2016-05-03T07:56:03.150Z,13.8062,145.0735,115.69,4.5,mb,,88,0.293,0.61,us,us10005d9v,2016-05-03T08:29:51.110Z,"35km NNE of Yigo Village, Guam",earthquake,10.8,6.7,0.078,48,reviewed,us,us
2016-05-03T07:46:56.590Z,13.7118,-91.2144,63,4.7,mb,,135,0.932,1.11,us,us10005d9n,2016-05-03T18:46:26.023Z,"44km SSW of La Gomera, Guatemala",earthquake,7.8,7.9,0.068,65,reviewed,us,us
2016-05-03T07:08:12.750Z,-52.4417,12.8594,14.29,4.8,mb,,109,20.516,0.98,us,us10005da1,2016-05-03T09:17:05.443Z,"Southwest of Africa",earthquake,17.8,2.3,0.196,8,reviewed,us,us
2016-05-03T02:35:00.260Z,-55.9167,-143.9272,10,5.2,mb,,159,27.693,0.69,us,us10005d7k,2016-05-03T15:02:57.040Z,"Pacific-Antarctic Ridge",earthquake,7.8,1.9,0.088,43,reviewed,us,us
2016-05-03T00:00:51.750Z,43.6879,147.5093,61.9,5.6,mwb,,20,3.579,0.71,us,us10005d6s,2016-05-03T15:08:10.040Z,"64km E of Shikotan, Russia",earthquake,6.9,3.8,0.05,38,reviewed,us,us
2016-05-02T21:49:38.230Z,13.5776,-91.3198,35,4.7,mb,,134,1.009,1.48,us,us10005d61,2016-05-02T22:19:23.824Z,"63km SSW of La Gomera, Guatemala",earthquake,6.6,2,0.03,338,reviewed,us,us
2016-05-02T14:29:00.410Z,24.1635,121.7386,12.06,4.7,mb,,52,0.131,0.54,us,us10005d0w,2016-05-02T17:18:20.994Z,"24km NNE of Hualian, Taiwan",earthquake,6.8,4.6,0.063,77,reviewed,us,us
2016-05-02T13:38:44.000Z,59.4153,-144.725,30.2,4.9,ml,,,,0.63,ak,ak13509047,2016-05-02T20:08:54.040Z,"87km E of Middleton Island, Alaska",earthquake,0.5,0.2,,,reviewed,ak,ak
2016-05-02T12:17:16.590Z,-6.0956,-107.2014,15.15,5.1,mb,,145,17.718,1.11,us,us10005d0b,2016-05-03T01:56:55.000Z,"Central East Pacific Rise",earthquake,14.2,4.8,0.03,367,reviewed,us,us
2016-05-02T11:50:33.060Z,13.0095,-88.72,74.68,4.8,mb,,110,0.837,1.06,us,us10005d03,2016-05-02T12:08:48.309Z,"35km SSW of Puerto El Triunfo, El Salvador",earthquake,6.9,8.1,0.031,314,reviewed,us,us
2016-05-02T08:10:19.400Z,-4.58,152.4727,98.03,5.1,mb,,44,0.494,0.94,us,us10005czi,2016-05-02T08:31:24.616Z,"34km SE of Kokopo, Papua New Guinea",earthquake,8.7,5.1,0.042,185,reviewed,us,us
2016-05-02T07:37:50.750Z,-59.9222,-25.831,35,5.1,mb,,69,8.093,0.8,us,us10005czb,2016-05-02T08:00:15.423Z,"106km SSE of Bristol Island, South Sandwich Islands",earthquake,10.6,2,0.07,66,reviewed,us,us
2016-05-02T07:26:52.550Z,39.8791,144.9406,31.21,4.9,mb,,134,2.525,0.87,us,us10005cz6,2016-05-02T07:53:57.056Z,"257km E of Miyako, Japan",earthquake,8.4,5.5,0.033,281,reviewed,us,us
2016-05-02T06:58:05.540Z,59.8067,-29.9734,10,4.6,mb,,83,6.387,0.63,us,us10005cz0,2016-05-02T08:54:15.692Z,"Reykjanes Ridge",earthquake,9.6,1.9,0.051,116,reviewed,us,us
2016-05-02T06:51:37.400Z,-3.182,146.065,10,4.8,mb,,73,1.723,0.72,us,us10005cyy,2016-05-02T07:09:28.096Z,"185km SW of Lorengau, Papua New Guinea",earthquake,9.1,1.9,0.121,21,reviewed,us,us
2016-05-02T05:24:44.600Z,11.8715,143.3516,25.98,5.3,mb,,91,2.259,0.9,us,us10005cyc,2016-05-02T05:44:36.290Z,"210km SW of Merizo Village, Guam",earthquake,9.8,5.4,0.032,318,reviewed,us,us
2016-05-02T04:21:25.410Z,-5.0928,104.4715,132.67,5.9,mb,,65,1.676,1.39,us,us10005cxc,2016-05-02T17:25:39.040Z,"38km NW of Pulaupanggung, Indonesia",earthquake,7.1,6,0.044,189,reviewed,us,us
2016-05-02T02:03:31.640Z,-32.7455,-69.1665,39.75,4.5,mb,,44,1.119,1.03,us,us10005cx5,2016-05-02T02:55:05.794Z,"35km WNW of Mendoza, Argentina",earthquake,4.7,9.5,0.131,17,reviewed,us,us
2016-05-02T00:26:47.860Z,-37.3383,177.3698,151.07,5.1,mb,,42,0.778,1.16,us,us10005cwv,2016-05-02T04:54:25.090Z,"76km NNE of Whakatane, New Zealand",earthquake,6.1,4.5,0.062,83,reviewed,us,us
2016-05-01T20:38:47.000Z,60.1403,-152.905,119.4,4.7,ml,,,,0.8,ak,ak13507245,2016-05-01T21:27:37.703Z,"45km SSW of Redoubt Volcano, Alaska",earthquake,0.3,0.4,,,reviewed,ak,ak
2016-05-01T18:56:02.490Z,-20.7272,170.0408,35,5.1,mb,,105,2.021,1.22,us,us10005cvg,2016-05-01T19:44:22.694Z,"153km SSE of Isangel, Vanuatu",earthquake,10.4,1.9,0.078,53,reviewed,us,us
2016-05-01T11:25:56.890Z,28.9103,142.8543,2.16,4.9,mb,,124,1.902,0.72,us,us10005cu1,2016-05-01T11:43:53.358Z,"211km NNE of Chichi-shima, Japan",earthquake,7.3,4.8,0.075,56,reviewed,us,us
2016-05-01T10:35:34.460Z,18.1597,-61.5886,20.08,4.8,mb,,71,0.523,0.89,us,us10005ctx,2016-05-01T10:51:31.139Z,"63km NNE of Codrington, Barbuda",earthquake,6.4,4.1,0.037,222,reviewed,us,us
