Country or Territory,Station Name,Jan,Jan Footnotes,Feb,Feb Footnotes,Mar,Mar Footnotes,Apr,Apr Footnotes,May,May Footnotes,Jun,Jun Footnotes,Jul,Jul Footnotes,Aug,Aug Footnotes,Sep,Sep Footnotes,Oct,Oct Footnotes,Nov,Nov Footnotes,Dec
ALGERIA,SKIKDA,115.3,,94,,75.6,,60.8,,29.9,,13.1,,2.9,,9.7,,30.1,,75,,99.2,,123
ALGERIA,SKIKDA,20.6,,0.6,,17.2,,7.8,,1.8,,0,,0,,0,,0,,3.9,,5.7,,21.5
ALGERIA,SKIKDA,52.1,,45,,33.2,,28.1,,11.6,,2.2,,0,,0.9,,10.4,,27.3,,47.6,,50.8
ALGERIA,SKIKDA,109.2,,76.7,,59.1,,44.2,,22.9,,7.6,,0.6,,2.1,,23.3,,62.9,,72.8,,79.8
ALGERIA,SKIKDA,134.2,,96.9,,86.9,,60.9,,31.8,,17.3,,1.6,,5.3,,33.8,,88.6,,117.5,,122.6
ALGERIA,SKIKDA,158,,125,,100.4,,84.1,,44.3,,21.8,,5.8,,16.7,,50.3,,99,,149.6,,186
ALGERIA,SKIKDA,218.6,,246.3,,172.5,,181,,81.5,,34.9,,13,,45.9,,81.5,,186.5,,231.8,,347.5
ALGERIA,ANNABA (Les Salines),92.7,,74.9,,67.7,,50.1,,30.7,,14.8,,2.8,,8,,30,,71.7,,74.4,,95.5
ALGERIA,ANNABA (Les Salines),15.1,,4.1,,11.8,,5.5,,0,,0,,0,,0,,1.5,,6.5,,4.2,,14.8
ALGERIA,ANNABA (Les Salines),42.7,,41.8,,35.6,,19.3,,15,,1.8,,0,,1.2,,10.1,,26,,37.5,,42.3
ALGERIA,ANNABA (Les Salines),75.1,,59.1,,48.5,,36.6,,22.8,,7,,0.1,,3,,19,,40.2,,47.9,,63.6
ALGERIA,ANNABA (Les Salines),103.5,,78,,70.4,,45.1,,33.3,,15.2,,1.5,,5.1,,27.4,,67.5,,78.3,,110.7
ALGERIA,ANNABA (Les Salines),130.5,,121.6,,92.3,,73.6,,49.1,,30.4,,3.9,,15.7,,54.2,,122,,128,,144.5
ALGERIA,ANNABA (Les Salines),226.7,,161.8,,223.5,,175.1,,68.5,,41.5,,18.5,,43.1,,89.1,,271.2,,172.9,,230.9
ALGERIA,ALGER ( dar el beida ),80,,81.8,,73.4,,61.1,,39.9,,16.7,,4.6,,7.4,,34.2,,76,,96.4,,115.2
ALGERIA,ALGER ( dar el beida ),3.7,,0,,8,,0.4,,0,,0,,0,,0,,0,,0,,10,,9.9
ALGERIA,ALGER ( dar el beida ),40.9,,29.6,,27.2,,26,,5.1,,2.5,,0,,0.2,,2.9,,25.9,,36.4,,58
ALGERIA,ALGER ( dar el beida ),59.4,,56.6,,48.2,,42.8,,13.8,,8.4,,0.2,,0.8,,11.1,,39.8,,69.3,,76.8
ALGERIA,ALGER ( dar el beida ),95.6,,87.3,,81.9,,63.9,,40.2,,14.9,,1.2,,3.4,,24.3,,90.1,,91.4,,117
ALGERIA,ALGER ( dar el beida ),123.5,,114,,110.9,,94.3,,84.6,,24.2,,6.1,,13.7,,64.1,,134.5,,167.2,,187.5
ALGERIA,ALGER ( dar el beida ),173.2,,346.1,,219.9,,195.1,,124.2,,71.3,,42.3,,40.3,,158,,253.2,,219.1,,253
ALGERIA,BEJAIA,99.7,,85.9,,100.4,,70.7,,41.2,,16.2,,5.8,,13,,40.4,,89.5,,99.7,,135
ALGERIA,BEJAIA,11.2,,0,,34.1,,15,,0.3,,0.1,,0,,0,,1,,0.9,,2.8,,10.1
ALGERIA,BEJAIA,43.3,,29.8,,49.5,,28.8,,13.3,,1.2,,0.3,,1.7,,3.4,,41.6,,47.6,,28.4
ALGERIA,BEJAIA,62.1,,54.9,,73.9,,43.3,,25,,6.4,,1.2,,3.4,,22.4,,51.3,,70.9,,69
ALGERIA,BEJAIA,98.5,,91.5,,101.7,,74.5,,47.1,,17,,3.8,,7.9,,41.8,,84.7,,102.2,,139.9
ALGERIA,BEJAIA,130.8,,130.7,,127.9,,107.6,,65.7,,26.6,,7.1,,24.4,,72.6,,120,,139.7,,224.1
ALGERIA,BEJAIA,299.1,,230,,252.9,,215.6,,89.7,,54.4,,47.3,,47,,106,,262.5,,228.8,,386.2
ALGERIA,CONSTANTINE (Ain El Bey),66.6,,58.3,,61.8,,53.2,,41.5,,20.9,,8.9,,12.2,,36.4,,38.4,,43.5,,71.1
ALGERIA,CONSTANTINE (Ain El Bey),12.1,,0,,15.5,,6.8,,0.4,,1.1,,0,,1.4,,0.1,,0,,0,,5
ALGERIA,CONSTANTINE (Ain El Bey),25,,28.4,,33.9,,23.1,,12,,3.6,,0.3,,3,,9.5,,10.7,,15.8,,23.8
ALGERIA,CONSTANTINE (Ain El Bey),47.2,,44.3,,50.9,,39.3,,29,,10,,2.3,,5.1,,22.9,,30.5,,26.7,,36.1
ALGERIA,CONSTANTINE (Ain El Bey),69,,61.9,,64.1,,50.7,,43.7,,13.9,,6.3,,10.8,,39,,44.3,,41.3,,76.1
ALGERIA,CONSTANTINE (Ain El Bey),108.5,,84.1,,88.3,,77.2,,69.4,,39.7,,15,,23.5,,57.7,,56.4,,71.9,,106
ALGERIA,CONSTANTINE (Ain El Bey),190.7,,164.3,,157.4,,191.8,,125,,91,,48.7,,40.9,,109.1,,115,,142.2,,328.1
ALGERIA,CHLEF,43.4,,56.7,,39.3,,39.9,,34,,10.5,,1.8,,6,,11.5,,51.3,,53,,61.9
ALGERIA,CHLEF,0,,0,,2.3,,0.7,,0,,0,,0,,0,,0,,0,,0,,7.2
ALGERIA,CHLEF,21,,14.3,,15.8,,19.7,,6.8,,1,,0,,0,,1.3,,11.9,,25.3,,35.1
ALGERIA,CHLEF,38.3,,46.1,,34.1,,27.9,,20.7,,5.4,,0,,0.1,,5.9,,35.1,,37.3,,49.7
ALGERIA,CHLEF,44.9,,57.1,,40.8,,39.9,,34.3,,9.3,,0.4,,1.1,,11.5,,51.3,,54.1,,70.3
